direction,code,signal_month_text,signal_date_text,entry_month_text,entry_price,tp_price,exit_price,exit_rule,ret_net_assumed,p_abs_big,p_side_big,p_side20,abs_gate,side_gate,target20_gate,model_version
up,4814,2001-12,2001-12-28,2002-01,215.75,258.9,227.5,month_close,0.0544611819235225,0.3656855177916875,0.3063124937034519,0.1463942639221416,0.15,0.3,0.14,20260214053343_m1
up,4839,2001-12,2001-12-28,2002-01,1495.0,1794.0,1510.0,month_close,0.0100334448160535,0.4433963715055316,0.3362739929924767,0.148191953879483,0.15,0.3,0.14,20260214053343_m1
up,5262,2001-12,2001-12-28,2002-01,55.0,66.0,52.5,month_close,-0.0454545454545454,0.4455668537226003,0.3505660997268955,0.1490494802835482,0.15,0.3,0.14,20260214053343_m1
up,5541,2001-12,2001-12-28,2002-01,550.0,660.0,660.0,tp20,0.1999999999999999,0.6530961801474598,0.4369850360338241,0.1542346164619639,0.15,0.3,0.14,20260214053343_m1
up,5711,2001-12,2001-12-28,2002-01,1790.0,2148.0,2040.0,month_close,0.1396648044692736,0.4055457423774191,0.3009730213624739,0.1460738955816829,0.15,0.3,0.14,20260214053343_m1
up,5721,2001-12,2001-12-28,2002-01,990.0,1188.0,1188.0,tp20,0.1999999999999999,0.5698284175704237,0.507505567208253,0.1584658483324296,0.15,0.3,0.14,20260214053343_m1
up,6203,2001-12,2001-12-28,2002-01,640.0,768.0,680.0,month_close,0.0625,0.5972426843596315,0.3431697832836468,0.1486057012969533,0.15,0.3,0.14,20260214053343_m1
up,6208,2001-12,2001-12-28,2002-01,620.0,744.0,620.0,month_close,0.0,0.5557060037938737,0.3926821612208209,0.1515764439731837,0.15,0.3,0.14,20260214053343_m1
up,6302,2001-12,2001-12-28,2002-01,350.0,420.0,315.0,month_close,-0.0999999999999999,0.4305014079406274,0.3137726250212397,0.1468418718012088,0.15,0.3,0.14,20260214053343_m1
up,6345,2001-12,2001-12-28,2002-01,113.0,135.6,111.0,month_close,-0.0176991150442478,0.4760077029803681,0.4230364336781668,0.1533977003206245,0.15,0.3,0.14,20260214053343_m1
up,6407,2001-12,2001-12-28,2002-01,322.0,386.4,360.0,month_close,0.1180124223602483,0.3634531675807673,0.330204896115558,0.1478278080668679,0.15,0.3,0.14,20260214053343_m1
up,7532,2001-12,2001-12-28,2002-01,28.9583339691162,34.75000076293944,34.75000076293944,tp20,0.1999999999999999,0.4198974795892446,0.3700484740105695,0.1502184227405686,0.15,0.3,0.14,20260214053343_m1
up,7545,2001-12,2001-12-28,2002-01,697.337890625,836.8054687499999,766.782348632813,month_close,0.0995850920212757,0.5013822719242017,0.3269675065731515,0.1476335646943236,0.15,0.3,0.14,20260214053343_m1
up,7550,2001-12,2001-12-28,2002-01,171.25,205.5,173.75,month_close,0.0145985401459853,0.4578587212086768,0.3018149966832015,0.1461244141009265,0.15,0.3,0.14,20260214053343_m1
up,7638,2001-12,2001-12-28,2002-01,25.2025184631348,30.24302215576176,30.24302215576176,tp20,0.1999999999999999,0.5815396196895813,0.4192571249871706,0.1531709417991647,0.15,0.3,0.14,20260214053343_m1
up,7927,2001-12,2001-12-28,2002-01,368.181823730469,441.81818847656274,382.727294921875,month_close,0.0395062174553575,0.4979785371917334,0.3857867364120539,0.1511627184846577,0.15,0.3,0.14,20260214053343_m1
up,8001,2001-12,2001-12-28,2002-01,59.2000007629395,71.0400009155274,57.4000015258789,month_close,-0.0304053921260664,0.4184041256051538,0.3291771390408781,0.1477661426423872,0.15,0.3,0.14,20260214053343_m1
up,8002,2001-12,2001-12-28,2002-01,79.0,94.8,79.0,month_close,0.0,0.4352888206003947,0.3547148100022214,0.1492984029000677,0.15,0.3,0.14,20260214053343_m1
up,8113,2001-12,2001-12-28,2002-01,101.481491088867,121.7777893066404,121.7777893066404,tp20,0.1999999999999999,0.4115712665255035,0.3537045930821919,0.149237789884866,0.15,0.3,0.14,20260214053343_m1
up,9432,2001-12,2001-12-28,2002-01,42.7000007629395,51.2400009155274,40.3999977111816,month_close,-0.0538642391255913,0.3449226420339445,0.3035147406243909,0.1462263987373979,0.15,0.3,0.14,20260214053343_m1
up,9433,2001-12,2001-12-28,2002-01,204.16667175293,245.000006103516,202.5,month_close,-0.0081632900150662,0.3828837152315961,0.3441526257948791,0.1486646718476272,0.15,0.3,0.14,20260214053343_m1
up,9962,2001-12,2001-12-28,2002-01,467.777801513672,561.3333618164064,497.777801513672,month_close,0.0641330133728528,0.4342462068711207,0.3279354126577476,0.1476916390593993,0.15,0.3,0.14,20260214053343_m1
up,9984,2001-12,2001-12-28,2002-01,88.3333358764648,106.00000305175776,82.5416717529297,month_close,-0.065566007058024,0.4425541195572225,0.3690831628507192,0.1501605040709776,0.15,0.3,0.14,20260214053343_m1
down,1929,2002-01,2002-01-31,2002-02,1196.0,956.8,1492.0,month_close,-0.2474916387959866,0.5363267917234505,0.370298752255279,0.0876537656268744,0.32,0.3,0.08,20260214053343_m1
down,2281,2002-01,2002-01-31,2002-02,230.0,184.0,260.0,month_close,-0.1304347826086956,0.5715321681475249,0.3691704004964873,0.0875860645213469,0.32,0.3,0.08,20260214053343_m1
down,4293,2002-01,2002-01-31,2002-02,60.0000038146973,48.00000305175784,48.00000305175784,tp20,0.1999999999999999,0.5672691857240694,0.3209093543411864,0.0846904017520288,0.32,0.3,0.08,20260214053343_m1
down,4316,2002-01,2002-01-31,2002-02,8000.0,6400.0,6890.0,month_close,0.13875,0.7598910078086938,0.5933546520342201,0.1010371196136108,0.32,0.3,0.08,20260214053343_m1
