rule,n,hit10,lift,avg_ret20,win20
pdown>=0.60 & pturndown>=0.50,10413,0.7721117833477384,4.274727342631593,0.0329896180747939,0.6532219341208105
cnt60>=50 & pdown>=0.60 & pturndown>=0.60,645,0.772093023255814,4.274623479072417,-0.020954187993380374,0.6201550387596899
cnt60>=50 & pdown>=0.60 & pturndown>=0.58,648,0.7716049382716049,4.271921240520275,-0.020783958485775182,0.6188271604938271
cnt60>=50 & pdown>=0.60 & pturndown>=0.55,649,0.7704160246533128,4.265338927360768,-0.020820477238947727,0.6178736517719569
cnt60>=50 & pdown>=0.60 & pturndown>=0.50,653,0.7702909647779479,4.264646544625238,-0.020312651375028763,0.6171516079632465
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.58 & pturndown>=0.50,922,0.7700650759219089,4.263395931320104,0.029682955769692494,0.6691973969631236
cnt60>=40 & pdown>=0.58 & pturndown>=0.62,1237,0.7607113985448666,4.211610139029211,-0.004976875736665091,0.6095392077607114
cnt60>=40 & pdown>=0.58 & pturndown>=0.58,1330,0.7541353383458647,4.17520237405821,-0.0013765549278418,0.6142857142857143
cnt60>=40 & pdown>=0.58 & pturndown>=0.60,1294,0.7534775888717156,4.171560803339582,-0.0033358713956299405,0.6097372488408037
cnt60>=50 & pdown>=0.58 & pturndown>=0.62,733,0.7517053206002728,4.161748799686993,-0.02661751621556468,0.616643929058663
cnt60>=40 & pdown>=0.58 & pturndown>=0.55,1362,0.750367107195301,4.154339901706306,-4.531937670830163e-05,0.6160058737151248
cnt60>=50 & pdown>=0.58 & pturndown>=0.60,755,0.743046357615894,4.1138092310565675,-0.02592343842281796,0.614569536423841
cnt60>=40 & pdown>=0.58 & pturndown>=0.50,1406,0.7403982930298719,4.099148459993287,0.0018309879767262464,0.6187766714082503
cnt60>=50 & pdown>=0.58 & pturndown>=0.58,766,0.7402088772845953,4.098099776780671,-0.025194844443537426,0.6148825065274152
cnt60>=50 & pdown>=0.58 & pturndown>=0.55,773,0.7347994825355757,4.068151149989274,-0.02545300752983105,0.610608020698577
pdown>=0.58 & pturndown>=0.62,11198,0.730041078764065,4.041806676108609,0.023023831316598735,0.628147883550634
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.55 & pturndown>=0.62,1068,0.7256554307116105,4.017525930691539,0.01183889079718379,0.6367041198501873
cnt60>=50 & pdown>=0.58 & pturndown>=0.50,798,0.7192982456140351,3.9823299480050056,-0.023934091885746148,0.6102756892230576
pdown>=0.58 & pturndown>=0.60,11896,0.7150302622730329,3.958700642664562,0.022868134672434655,0.6271856086079355
pdown>=0.58 & pturndown>=0.58,12276,0.7119582926034539,3.9416929592882672,0.023814317500302603,0.6290322580645161
cnt60>=40 & pdown>=0.55 & pturndown>=0.62,1537,0.7104749512036435,3.9334805732361673,-0.00987550596524328,0.5985686402081978
pdown>=0.58 & pturndown>=0.55,12642,0.7100142382534409,3.9309298774848394,0.024879852031093292,0.6324157570004746
pdown>=0.58 & pturndown>=0.50,12992,0.7069735221674877,3.914095226759207,0.026108715867844797,0.6358528325123153
ext_ma20>=0.03 & cnt60>=30 & pdown>=0.55 & pturndown>=0.60,1183,0.6973795435333897,3.8609790282031087,0.010238834867277257,0.6263736263736264
