pattern,metric,day,count,share,cum_share
60v_strong,days_to_high_break_60d,6,39,0.036077705827937095,0.730804810360777
60v_strong,days_to_high_break_60d,7,24,0.022201665124884366,0.7530064754856615
60v_strong,days_to_high_break_60d,8,22,0.020351526364477335,0.7733580018501388
60v_strong,days_to_high_break_60d,9,23,0.02127659574468085,0.7946345975948197
60v_strong,days_to_high_break_60d,10,18,0.016651248843663275,0.811285846438483
60v_strong,days_to_high_break_60d,11,15,0.013876040703052728,0.8251618871415357
60v_strong,days_to_high_break_60d,12,11,0.010175763182238668,0.8353376503237744
60v_strong,days_to_high_break_60d,13,10,0.009250693802035153,0.8445883441258095
60v_strong,days_to_high_break_60d,14,11,0.010175763182238668,0.8547641073080482
60v_strong,days_to_high_break_60d,15,6,0.005550416281221091,0.8603145235892693
60v_strong,days_to_high_break_60d,16,9,0.008325624421831638,0.8686401480111009
60v_strong,days_to_high_break_60d,17,11,0.010175763182238668,0.8788159111933396
60v_strong,days_to_high_break_60d,18,5,0.004625346901017576,0.8834412580943571
60v_strong,days_to_high_break_60d,19,10,0.009250693802035153,0.8926919518963923
60v_strong,days_to_high_break_60d,20,6,0.005550416281221091,0.8982423681776134
60v_strong,days_to_high_break_60d,21,9,0.008325624421831638,0.906567992599445
60v_strong,days_to_high_break_60d,22,6,0.005550416281221091,0.9121184088806661
60v_strong,days_to_high_break_60d,23,8,0.0074005550416281225,0.9195189639222943
60v_strong,days_to_high_break_60d,24,4,0.0037002775208140612,0.9232192414431083
60v_strong,days_to_high_break_60d,25,3,0.0027752081406105457,0.9259944495837188
60v_strong,days_to_high_break_60d,26,2,0.0018501387604070306,0.9278445883441259
60v_strong,days_to_high_break_60d,27,4,0.0037002775208140612,0.9315448658649399
60v_strong,days_to_high_break_60d,28,3,0.0027752081406105457,0.9343200740055504
60v_strong,days_to_high_break_60d,29,6,0.005550416281221091,0.9398704902867715
60v_strong,days_to_high_break_60d,30,1,0.0009250693802035153,0.940795559666975
60v_strong,days_to_high_break_60d,31,9,0.008325624421831638,0.9491211840888066
60v_strong,days_to_high_break_60d,32,1,0.0009250693802035153,0.9500462534690102
60v_strong,days_to_high_break_60d,33,1,0.0009250693802035153,0.9509713228492137
60v_strong,days_to_high_break_60d,34,2,0.0018501387604070306,0.9528214616096208
60v_strong,days_to_high_break_60d,35,4,0.0037002775208140612,0.9565217391304348
60v_strong,days_to_high_break_60d,36,3,0.0027752081406105457,0.9592969472710453
60v_strong,days_to_high_break_60d,37,1,0.0009250693802035153,0.9602220166512488
60v_strong,days_to_high_break_60d,38,6,0.005550416281221091,0.96577243293247
60v_strong,days_to_high_break_60d,39,3,0.0027752081406105457,0.9685476410730804
60v_strong,days_to_high_break_60d,40,1,0.0009250693802035153,0.969472710453284
60v_strong,days_to_high_break_60d,42,1,0.0009250693802035153,0.9703977798334875
